scenario,seed,storm_steps,storm_torque_peak,storm_accel_peak,dropout_count,noise_scale_peak
quiet,42,0,0.0,0.0,0,1.0
maneuver,59,0,0.0,0.0,0,1.0
biased_sensors,76,0,0.0,0.0,0,1.0
high_disturbance,93,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,110,0,0.0,0.0,1214,1.0
storm,127,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,144,0,0.0,0.0,0,1.0
maneuver,161,0,0.0,0.0,0,1.0
biased_sensors,178,0,0.0,0.0,0,1.0
high_disturbance,195,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,212,0,0.0,0.0,1190,1.0
storm,229,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,246,0,0.0,0.0,0,1.0
maneuver,263,0,0.0,0.0,0,1.0
biased_sensors,280,0,0.0,0.0,0,1.0
high_disturbance,297,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,314,0,0.0,0.0,1243,1.0
storm,331,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,348,0,0.0,0.0,0,1.0
maneuver,365,0,0.0,0.0,0,1.0
biased_sensors,382,0,0.0,0.0,0,1.0
high_disturbance,399,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,416,0,0.0,0.0,1209,1.0
storm,433,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,450,0,0.0,0.0,0,1.0
maneuver,467,0,0.0,0.0,0,1.0
biased_sensors,484,0,0.0,0.0,0,1.0
high_disturbance,501,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,518,0,0.0,0.0,1167,1.0
storm,535,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,552,0,0.0,0.0,0,1.0
maneuver,569,0,0.0,0.0,0,1.0
biased_sensors,586,0,0.0,0.0,0,1.0
high_disturbance,603,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,620,0,0.0,0.0,1218,1.0
storm,637,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,654,0,0.0,0.0,0,1.0
maneuver,671,0,0.0,0.0,0,1.0
biased_sensors,688,0,0.0,0.0,0,1.0
high_disturbance,705,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,722,0,0.0,0.0,1199,1.0
storm,739,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,756,0,0.0,0.0,0,1.0
maneuver,773,0,0.0,0.0,0,1.0
biased_sensors,790,0,0.0,0.0,0,1.0
high_disturbance,807,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,824,0,0.0,0.0,1216,1.0
storm,841,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,858,0,0.0,0.0,0,1.0
maneuver,875,0,0.0,0.0,0,1.0
biased_sensors,892,0,0.0,0.0,0,1.0
high_disturbance,909,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,926,0,0.0,0.0,1206,1.0
storm,943,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,960,0,0.0,0.0,0,1.0
maneuver,977,0,0.0,0.0,0,1.0
biased_sensors,994,0,0.0,0.0,0,1.0
high_disturbance,1011,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,1028,0,0.0,0.0,1193,1.0
storm,1045,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,1062,0,0.0,0.0,0,1.0
maneuver,1079,0,0.0,0.0,0,1.0
biased_sensors,1096,0,0.0,0.0,0,1.0
high_disturbance,1113,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,1130,0,0.0,0.0,1179,1.0
storm,1147,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,1164,0,0.0,0.0,0,1.0
maneuver,1181,0,0.0,0.0,0,1.0
biased_sensors,1198,0,0.0,0.0,0,1.0
high_disturbance,1215,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,1232,0,0.0,0.0,1224,1.0
storm,1249,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,1266,0,0.0,0.0,0,1.0
maneuver,1283,0,0.0,0.0,0,1.0
biased_sensors,1300,0,0.0,0.0,0,1.0
high_disturbance,1317,48,0.0005590169943749474,5.3851648071345046e-05,0,1.0
degraded_measurements,1334,0,0.0,0.0,1178,1.0
storm,1351,48,0.0005590169943749474,5.3851648071345046e-05,0,1.5
quiet,1368,0,0.0,0.0,0,1.0
maneuver,1385,0,0.0,0.0,0,1.0
