axis,value,att_mean,att_std,pos_mean,pos_std
depth,2.0,0.03587612880776399,0.0013825486621414388,0.009677493167742529,0.00012516612737334805
depth,4.0,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
depth,6.0,0.03508822787848085,3.813463648593021e-05,0.009744142177608257,9.308365460458435e-07
hidden,64.0,0.034941104141452024,0.0001997701373295305,0.009716536932940145,4.834800331675573e-05
hidden,128.0,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
hidden,256.0,0.03505236626303285,5.39173859035043e-05,0.00973966314505314,6.351859021541277e-06
lambda_norm,0.0,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
lambda_norm,0.1,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
lambda_norm,1.0,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
lr,0.0003,0.034977768653794504,6.292003303954803e-05,0.009702048436479595,4.7231759627632995e-05
lr,0.001,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
lr,0.003,0.03507311363948645,1.7078165458787003e-05,0.00974603927609719,7.28023343700626e-07
pinn_r_scale,0.25,0.034770055008815914,0.0,0.009850834299841784,0.0
pinn_r_scale,1.0,0.03518603557672338,0.0,0.009716879883434303,0.0
pinn_r_scale,4.0,0.037667794359551136,0.0,0.009622868124908942,0.0
pinn_r_scale,16.0,0.04180502454387116,0.0,0.009595537282679893,0.0
window,2.0,0.035076334131882,6.6996847284190484e-06,0.009743290601876278,1.7837768205364539e-06
window,4.0,0.03505995962873662,1.592209485296509e-05,0.009745537321484912,3.3555541783174926e-06
window,8.0,0.03509969750270032,9.255531037574268e-05,0.009751991145312888,7.990489008458526e-06
